Assign Equipment ID,PO Numbers:,Booking Number,Shipment Load Type,Invoice Number,BL / Waybill #,Select Carrier,Updated Transload Location (US Only),Estimated Departure Date,Equipment # Type,Seal Number,CTN QTY,UNITS
JV4206,3000036683,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036694,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037414,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037425,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037431,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037439,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037448,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037481,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037492,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037503,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037512,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037523,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037570,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037581,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037589,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037603,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037637,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037651,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037668,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037719,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037727,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037739,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037790,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038235,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038243,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038340,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
